From	Entry	Organism
Q6FJX6	Q6FJX6	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q6FK84	Q6FK84	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q6FL44	Q6FL44	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q6FNR0	Q6FNR0	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q6FPH9	Q6FPH9	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q6FSJ4	Q6FSJ4	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q6FYA6	Q6FYA6	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q6FYP6	Q6FYP6	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)
Q6FZU5	Q6FZU5	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)
Q6G1E5	Q6G1E5	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)
Q6G564	Q6G564	Bartonella henselae (strain ATCC 49882 / DSM 28221 / CCUG 30454 / Houston 1) (Rochalimaea henselae)
Q6G5D9	Q6G5D9	Bartonella henselae (strain ATCC 49882 / DSM 28221 / CCUG 30454 / Houston 1) (Rochalimaea henselae)
Q6G5R1	Q6G5R1	Bartonella henselae (strain ATCC 49882 / DSM 28221 / CCUG 30454 / Houston 1) (Rochalimaea henselae)
Q6G643	Q6G643	Staphylococcus aureus (strain MSSA476)
Q6G6H7	Q6G6H7	Staphylococcus aureus (strain MSSA476)
Q6G757	Q6G757	Staphylococcus aureus (strain MSSA476)
Q6G8G5	Q6G8G5	Staphylococcus aureus (strain MSSA476)
Q6G970	Q6G970	Staphylococcus aureus (strain MSSA476)
Q6G9H0	Q6G9H0	Staphylococcus aureus (strain MSSA476)
Q6G9T7	Q6G9T7	Staphylococcus aureus (strain MSSA476)
Q6GE46	Q6GE46	Staphylococcus aureus (strain MRSA252)
Q6GE73	Q6GE73	Staphylococcus aureus (strain MRSA252)
Q6GEG9	Q6GEG9	Staphylococcus aureus (strain MRSA252)
Q6GEN3	Q6GEN3	Staphylococcus aureus (strain MRSA252)
Q6GFS7	Q6GFS7	Staphylococcus aureus (strain MRSA252)
Q6GFT9	Q6GFT9	Staphylococcus aureus (strain MRSA252)
Q6GGB8	Q6GGB8	Staphylococcus aureus (strain MRSA252)
Q6GGK4	Q6GGK4	Staphylococcus aureus (strain MRSA252)
Q6GH17	Q6GH17	Staphylococcus aureus (strain MRSA252)
Q6GHF9	Q6GHF9	Staphylococcus aureus (strain MRSA252)
Q6GHJ9	Q6GHJ9	Staphylococcus aureus (strain MRSA252)
Q6GJ11	Q6GJ11	Staphylococcus aureus (strain MRSA252)
Q6GKJ3	Q6GKJ3	Staphylococcus aureus (strain MRSA252)
Q6GNI4	Q6GNI4	Xenopus laevis (African clawed frog)
Q6GPF3	Q6GPF3	Xenopus laevis (African clawed frog)
Q6H7J5	Q6H7J5	Oryza sativa subsp. japonica (Rice)
Q6HNU0	Q6HNU0	Bacillus thuringiensis subsp. konkukian (strain 97-27)
Q6HP30	Q6HP30	Bacillus thuringiensis subsp. konkukian (strain 97-27)
Q6HPD1	Q6HPD1	Bacillus thuringiensis subsp. konkukian (strain 97-27)
Q6HPH4	Q6HPH4	Bacillus thuringiensis subsp. konkukian (strain 97-27)
Q6ING4	Q6ING4	Xenopus laevis (African clawed frog)
Q6IP18	Q6IP18	Xenopus laevis (African clawed frog)
Q6K9U2	Q6K9U2	Oryza sativa subsp. japonica (Rice)
Q6K9X3	Q6K9X3	Oryza sativa subsp. japonica (Rice)
Q6KHG8	Q6KHG8	Mycoplasma mobile (strain ATCC 43663 / 163K / NCTC 11711) (Mesomycoplasma mobile)
Q6KIH9	Q6KIH9	Mycoplasma mobile (strain ATCC 43663 / 163K / NCTC 11711) (Mesomycoplasma mobile)
Q6KZ38	Q6KZ38	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3)
Q6KZL0	Q6KZL0	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3)
Q6L0E8	Q6L0E8	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3)
Q6L3L0	Q6L3L0	Solanum demissum (Wild potato)
Q6L3N7	Q6L3N7	Solanum demissum (Wild potato)
Q6L3X3	Q6L3X3	Solanum demissum (Wild potato)
Q6L3Y2	Q6L3Y2	Solanum demissum (Wild potato)
Q6L3Z4	Q6L3Z4	Solanum demissum (Wild potato)
Q6L3Z7	Q6L3Z7	Solanum demissum (Wild potato)
Q6L400	Q6L400	Solanum demissum (Wild potato)
Q6L403	Q6L403	Solanum demissum (Wild potato)
Q6L406	Q6L406	Solanum demissum (Wild potato)
Q6L439	Q6L439	Solanum demissum (Wild potato)
Q6L440	Q6L440	Solanum demissum (Wild potato)
Q6LD29	Q6LD29	Xenopus laevis (African clawed frog)
Q6LH46	Q6LH46	Photobacterium profundum (strain SS9)
Q6LJI1	Q6LJI1	Photobacterium profundum (strain SS9)
Q6LM38	Q6LM38	Photobacterium profundum (strain SS9)
Q6LMN6	Q6LMN6	Photobacterium profundum (strain SS9)
Q6LT48	Q6LT48	Photobacterium profundum (strain SS9)
Q6LU63	Q6LU63	Photobacterium profundum (strain SS9)
Q6LV53	Q6LV53	Photobacterium profundum (strain SS9)
Q6LVS1	Q6LVS1	Photobacterium profundum (strain SS9)
Q6LZL7	Q6LZL7	Methanococcus maripaludis (strain DSM 14266 / JCM 13030 / NBRC 101832 / S2 / LL)
Q6M181	Q6M181	Methanococcus maripaludis (strain DSM 14266 / JCM 13030 / NBRC 101832 / S2 / LL)
Q6MB28	Q6MB28	Protochlamydia amoebophila (strain UWE25)
Q6MC67	Q6MC67	Protochlamydia amoebophila (strain UWE25)
Q6MT04	Q6MT04	Mycoplasma mycoides subsp. mycoides SC (strain CCUG 32753 / NCTC 10114 / PG1)
Q6NCZ5	Q6NCZ5	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)
Q6NG13	Q6NG13	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)
Q6NGQ9	Q6NGQ9	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)
Q6NHG5	Q6NHG5	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)
Q6NRB5	Q6NRB5	Xenopus laevis (African clawed frog)
Q6NVM0	Q6NVM0	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6NVT7	Q6NVT7	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6NWF4	Q6NWF4	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6NYF0	Q6NYF0	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6P0E5	Q6P0E5	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6P0H6	Q6P0H6	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6P2Z3	Q6P2Z3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6P3D7	Q6P3D7	Mus musculus (Mouse)
Q6P4T2	Q6P4T2	Mus musculus (Mouse)
Q6P747	Q6P747	Rattus norvegicus (Rat)
Q6P839	Q6P839	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6P881	Q6P881	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6P8A3	Q6P8A3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6PAF4	Q6PAF4	Xenopus laevis (African clawed frog)
Q6PDG5	Q6PDG5	Mus musculus (Mouse)
Q6PFQ2	Q6PFQ2	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6PIV2	Q6PIV2	Homo sapiens (Human)
Q6PJQ5	Q6PJQ5	Homo sapiens (Human)
Q6PKG0	Q6PKG0	Homo sapiens (Human)
Q6PKU1	Q6PKU1	Sus scrofa (Pig)
Q6Q271	Q6Q271	Acinetobacter baumannii
Q6Q308	Q6Q308	Canis lupus familiaris (Dog) (Canis familiaris)
Q6Q880	Q6Q880	Leptosphaeria maculans (Blackleg fungus) (Phoma lingam)
Q6QGL2	Q6QGL2	Escherichia phage T5 (Enterobacteria phage T5)
Q6S7F2	Q6S7F2	Mus musculus (Mouse)
Q6T1F5	Q6T1F5	Ammi majus (Bishop's weed)
Q6T1F6	Q6T1F6	Ammi majus (Bishop's weed)
Q6TDU1	Q6TDU1	Canis lupus familiaris (Dog) (Canis familiaris)
Q6U8D7	Q6U8D7	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Q6VB84	Q6VB84	Homo sapiens (Human)
Q6VFT5	Q6VFT5	Oryctolagus cuniculus (Rabbit)
Q6VFT6	Q6VFT6	Sus scrofa (Pig)
Q6VFT7	Q6VFT7	Bos taurus (Bovine)
Q6VMV8	Q6VMV8	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)
Q6VMV9	Q6VMV9	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)
Q6VMW0	Q6VMW0	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)
Q6VMW1	Q6VMW1	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)
Q6VMW2	Q6VMW2	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)
Q6WLH3	Q6WLH3	Zea mays (Maize)
Q6WLH4	Q6WLH4	Zea mays (Maize)
Q6WS85	Q6WS85	Zea mays (Maize)
Q6WUC1	Q6WUC1	Papaver somniferum (Opium poppy)
Q6WUC2	Q6WUC2	Papaver somniferum (Opium poppy)
Q6XHA5	Q6XHA5	Dictyostelium discoideum (Social amoeba)
Q6XHB2	Q6XHB2	Dictyostelium discoideum (Social amoeba)
Q6XL52	Q6XL52	Comamonas testosteroni (Pseudomonas testosteroni)
Q6XMH6	Q6XMH6	Encephalitozoon hellem (strain ATCC 50504) (Microsporidian parasite)
Q6XMH7	Q6XMH7	Encephalitozoon intestinalis (strain ATCC 50506) (Microsporidian parasite) (Septata intestinalis)
Q6YPL9	Q6YPL9	Onion yellows phytoplasma (strain OY-M)
Q6YYZ1	Q6YYZ1	Oryza sativa subsp. japonica (Rice)
Q6Z690	Q6Z690	Oryza sativa subsp. japonica (Rice)
Q6ZD89	Q6ZD89	Oryza sativa subsp. japonica (Rice)
Q6ZD95	Q6ZD95	Oryza sativa subsp. japonica (Rice)
Q6ZN32	Q6ZN32	Homo sapiens (Human)
Q6ZQ58	Q6ZQ58	Mus musculus (Mouse)
Q6ZQ88	Q6ZQ88	Mus musculus (Mouse)
Q6ZQN5	Q6ZQN5	Homo sapiens (Human)
Q6ZV50	Q6ZV50	Homo sapiens (Human)
Q708W1	Q708W1	Xenopus laevis (African clawed frog)
Q708W2	Q708W2	Xenopus laevis (African clawed frog)
Q70FH0	Q70FH0	Pectobacterium parmentieri
Q70KY4	Q70KY4	Mus musculus (Mouse)
Q70Z35	Q70Z35	Homo sapiens (Human)
Q71BG9	Q71BG9	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Q71BH0	Q71BH0	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Q71BH1	Q71BH1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Q71RC2	Q71RC2	Homo sapiens (Human)
Q71YX4	Q71YX4	Listeria monocytogenes serotype 4b (strain F2365)
Q72DS5	Q72DS5	Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough) (Desulfovibrio vulgaris)
Q72DW6	Q72DW6	Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough) (Desulfovibrio vulgaris)
Q72K66	Q72K66	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)
Q72L95	Q72L95	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)
Q72TG0	Q72TG0	Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130)
Q730L9	Q730L9	Bacillus cereus (strain ATCC 10987 / NRS 248)
Q731P1	Q731P1	Bacillus cereus (strain ATCC 10987 / NRS 248)
Q739W8	Q739W8	Bacillus cereus (strain ATCC 10987 / NRS 248)
Q73E88	Q73E88	Bacillus cereus (strain ATCC 10987 / NRS 248)
Q73LF2	Q73LF2	Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104)
Q73XZ5	Q73XZ5	Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis)
Q740I4	Q740I4	Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis)
Q746J8	Q746J8	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)
Q74GL3	Q74GL3	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)
Q74H61	Q74H61	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)
Q74IG3	Q74IG3	Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)
Q74IT4	Q74IT4	Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)
Q74JM2	Q74JM2	Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)
Q74MZ3	Q74MZ3	Nanoarchaeum equitans (strain Kin4-M)
Q74NK2	Q74NK2	Nanoarchaeum equitans (strain Kin4-M)
Q74ZU6	Q74ZU6	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
Q754C9	Q754C9	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
Q758N7	Q758N7	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
Q75BU2	Q75BU2	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
Q75BY2	Q75BY2	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
Q75C22	Q75C22	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
Q75DV2	Q75DV2	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
Q75LL6	Q75LL6	Oryza sativa subsp. japonica (Rice)
Q764M6	Q764M6	Sus scrofa (Pig)
Q765S0	Q765S0	Klebsiella pneumoniae
Q765S2	Q765S2	Klebsiella pneumoniae
Q796Q6	Q796Q6	Bacillus subtilis (strain 168)
Q796S4	Q796S4	Bacillus subtilis (strain 168)
Q79VI7	Q79VI7	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534)
Q7A4T8	Q7A4T8	Staphylococcus aureus (strain N315)
Q7A875	Q7A875	Staphylococcus aureus (strain N315)
Q7ABA6	Q7ABA6	Escherichia coli O157:H7
Q7AKE4	Q7AKE4	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
Q7AKG9	Q7AKG9	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
Q7CQM8	Q7CQM8	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
Q7JQ07	Q7JQ07	Drosophila mauritiana (Fruit fly)
Q7JXV9	Q7JXV9	Drosophila melanogaster (Fruit fly)
Q7KLI1	Q7KLI1	Drosophila melanogaster (Fruit fly)
Q7KPA5	Q7KPA5	Drosophila melanogaster (Fruit fly)
Q7KS38	Q7KS38	Drosophila melanogaster (Fruit fly)
Q7KSD8	Q7KSD8	Drosophila melanogaster (Fruit fly)
Q7LYW4	Q7LYW4	Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C)
Q7M3M6	Q7M3M6	Drosophila virilis (Fruit fly)
Q7M879	Q7M879	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / CCUG 13145 / JCM 31913 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)
Q7MCF1	Q7MCF1	Vibrio vulnificus (strain YJ016)
Q7MD11	Q7MD11	Vibrio vulnificus (strain YJ016)
Q7MG94	Q7MG94	Vibrio vulnificus (strain YJ016)
Q7MH10	Q7MH10	Vibrio vulnificus (strain YJ016)
Q7MHL5	Q7MHL5	Vibrio vulnificus (strain YJ016)
Q7MHR5	Q7MHR5	Vibrio vulnificus (strain YJ016)
Q7MJ62	Q7MJ62	Vibrio vulnificus (strain YJ016)
Q7MJ78	Q7MJ78	Vibrio vulnificus (strain YJ016)
Q7MJP0	Q7MJP0	Vibrio vulnificus (strain YJ016)
Q7MNG3	Q7MNG3	Vibrio vulnificus (strain YJ016)
Q7MP98	Q7MP98	Vibrio vulnificus (strain YJ016)
Q7MQ85	Q7MQ85	Vibrio vulnificus (strain YJ016)
Q7MWU9	Q7MWU9	Porphyromonas gingivalis (strain ATCC BAA-308 / W83)
Q7MXX4	Q7MXX4	Porphyromonas gingivalis (strain ATCC BAA-308 / W83)
Q7MYU4	Q7MYU4	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7MYW8	Q7MYW8	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7MZB8	Q7MZB8	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N185	Q7N185	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N223	Q7N223	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N2E0	Q7N2E0	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N3Z5	Q7N3Z5	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N547	Q7N547	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N6B9	Q7N6B9	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N976	Q7N976	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7N9V4	Q7N9V4	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)
Q7NB77	Q7NB77	Mycoplasmoides gallisepticum (strain R(low / passage 15 / clone 2)) (Mycoplasma gallisepticum)
Q7NBC5	Q7NBC5	Mycoplasmoides gallisepticum (strain R(low / passage 15 / clone 2)) (Mycoplasma gallisepticum)
Q7NGP9	Q7NGP9	Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
Q7NIB2	Q7NIB2	Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
Q7NQ37	Q7NQ37	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK)
Q7NQC5	Q7NQC5	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK)
Q7NXL8	Q7NXL8	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK)
Q7NXM0	Q7NXM0	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK)
Q7QGK4	Q7QGK4	Anopheles gambiae (African malaria mosquito)
Q7S0P8	Q7S0P8	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7S2R9	Q7S2R9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7S7L7	Q7S7L7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7S9B6	Q7S9B6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7S9J6	Q7S9J6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7SBD4	Q7SBD4	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7SD49	Q7SD49	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7SD63	Q7SD63	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q7SXA9	Q7SXA9	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7T1C0	Q7T1C0	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7T1R4	Q7T1R4	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q7TNK1	Q7TNK1	Mus musculus (Mouse)
Q7TPQ3	Q7TPQ3	Mus musculus (Mouse)
Q7U3Z7	Q7U3Z7	Parasynechococcus marenigrum (strain WH8102)
Q7U9W7	Q7U9W7	Parasynechococcus marenigrum (strain WH8102)
Q7UPG4	Q7UPG4	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)
Q7UQ43	Q7UQ43	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)
Q7UW59	Q7UW59	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)
Q7UZP3	Q7UZP3	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
Q7V4D3	Q7V4D3	Prochlorococcus marinus (strain MIT 9313)
Q7V910	Q7V910	Prochlorococcus marinus (strain MIT 9313)
Q7V9Q4	Q7V9Q4	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
Q7VIU8	Q7VIU8	Helicobacter hepaticus (strain ATCC 51449 / 3B1)
Q7VKV5	Q7VKV5	Haemophilus ducreyi (strain 35000HP / ATCC 700724)
Q7VL94	Q7VL94	Haemophilus ducreyi (strain 35000HP / ATCC 700724)
Q7VNI6	Q7VNI6	Haemophilus ducreyi (strain 35000HP / ATCC 700724)
Q7VNS6	Q7VNS6	Haemophilus ducreyi (strain 35000HP / ATCC 700724)
Q7VP42	Q7VP42	Haemophilus ducreyi (strain 35000HP / ATCC 700724)
Q7VR54	Q7VR54	Blochmanniella floridana
Q7VRY0	Q7VRY0	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)
Q7VTT6	Q7VTT6	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)
Q7VVX7	Q7VVX7	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)
Q7W0T5	Q7W0T5	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)
Q7W4T6	Q7W4T6	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)
Q7WGB3	Q7WGB3	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus)
Q7XA39	Q7XA39	Solanum bulbocastanum (Wild potato)
Q7XA40	Q7XA40	Solanum bulbocastanum (Wild potato)
Q7XA42	Q7XA42	Solanum bulbocastanum (Wild potato)
Q7XB10	Q7XB10	Papaver somniferum (Opium poppy)
Q7XB11	Q7XB11	Papaver somniferum (Opium poppy)
Q7XBQ9	Q7XBQ9	Solanum bulbocastanum (Wild potato)
Q7XUR2	Q7XUR2	Oryza sativa subsp. japonica (Rice)
Q7XXD4	Q7XXD4	Oryza sativa subsp. japonica (Rice)
Q7XXI9	Q7XXI9	Oryza sativa subsp. japonica (Rice)
Q7Z2W4	Q7Z2W4	Homo sapiens (Human)
Q7Z3F1	Q7Z3F1	Homo sapiens (Human)
Q7ZAK9	Q7ZAK9	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)
Q7ZUX1	Q7ZUX1	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7ZVK4	Q7ZVK4	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7ZWE3	Q7ZWE3	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7ZX03	Q7ZX03	Xenopus laevis (African clawed frog)
Q7ZYQ0	Q7ZYQ0	Xenopus laevis (African clawed frog)
Q803Q4	Q803Q4	Danio rerio (Zebrafish) (Brachydanio rerio)
Q80TT8	Q80TT8	Mus musculus (Mouse)
Q80WW9	Q80WW9	Mus musculus (Mouse)
Q80ZD1	Q80ZD1	Tamias striatus (Eastern chipmunk) (Sciurus striatus)
Q810T5	Q810T5	Rattus norvegicus (Rat)
Q810W5	Q810W5	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)
Q817W4	Q817W4	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
Q818P5	Q818P5	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
Q818S1	Q818S1	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
Q819C8	Q819C8	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
Q81A03	Q81A03	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
Q81EN2	Q81EN2	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
Q81II2	Q81II2	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
